"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "TypeScript JSX", "XML", "CSS", "Markdown", "comment", "blank", "total"
"d:\araby\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"d:\araby\app\[locale]\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 195, 0, 0, 0, 9, 22, 226
"d:\araby\app\[locale]\admin\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\araby\app\[locale]\company\(Tasks)\tasks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 688, 0, 0, 0, 24, 47, 759
"d:\araby\app\[locale]\company\(customers)\customers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 341, 0, 0, 0, 23, 27, 391
"d:\araby\app\[locale]\company\(employees)\employees\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 398, 0, 0, 0, 26, 33, 457
"d:\araby\app\[locale]\company\company-settings\failure\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\araby\app\[locale]\company\company-settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\araby\app\[locale]\company\company-settings\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 10, 58
"d:\araby\app\[locale]\company\expenses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 0, 6, 92
"d:\araby\app\[locale]\company\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\araby\app\[locale]\company\my-tasks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 270, 0, 0, 0, 14, 16, 300
"d:\araby\app\[locale]\company\offers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 283, 0, 0, 0, 17, 23, 323
"d:\araby\app\[locale]\company\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 454, 0, 0, 0, 20, 39, 513
"d:\araby\app\[locale]\company\tasks\[taskId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 273, 0, 0, 0, 21, 31, 325
"d:\araby\app\[locale]\dictionaries.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\araby\app\[locale]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 2, 9, 58
"d:\araby\app\[locale]\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 1, 4, 40
"d:\araby\app\[locale]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 219, 0, 0, 0, 9, 14, 242
"d:\araby\app\[locale]\super-admin\companies\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 464, 0, 0, 0, 28, 45, 537
"d:\araby\app\[locale]\super-admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\araby\app\[locale]\super-admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 614, 0, 0, 0, 18, 34, 666
"d:\araby\app\[locale]\super-admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 341, 0, 0, 0, 20, 47, 408
"d:\araby\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 117, 0, 0, 6, 123
"d:\araby\app\hooks\useDebounce.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\araby\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"d:\araby\app\lib\api.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 12, 12, 119
"d:\araby\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 1, 4, 38
"d:\araby\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\araby\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\araby\components.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"d:\araby\components\auth\auth-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 5, 5, 25
"d:\araby\components\company\add-customer-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 313, 0, 0, 0, 20, 31, 364
